,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As at 30 June 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL,,,,,,,,,,,,,,,,,
Female, 204 ," 1,034 "," 4,373 "," 5,777 "," 5,481 "," 4,649 "," 4,314 "," 4,839 "," 4,306 "," 4,133 "," 3,665 "," 3,443 "," 8,802 "," 55,020 ",,,,,,,,,,,,,,,,,
Male, 200 , 975 ," 3,819 "," 5,379 "," 5,518 "," 4,583 "," 4,212 "," 4,519 "," 4,076 "," 3,793 "," 3,235 "," 3,008 "," 6,812 "," 50,129 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , 1 , - , 1 ,,,,,,,,,,,,,,,,,
Holt, 476 ," 3,155 "," 11,300 "," 11,511 "," 13,161 "," 12,865 "," 11,336 "," 11,152 "," 10,236 "," 9,863 "," 8,152 "," 6,600 "," 11,475 "," 121,282 ",,,,,,,,,,,,,,,,,
Female, 245 ," 1,584 "," 5,537 "," 5,778 "," 6,673 "," 6,302 "," 5,496 "," 5,657 "," 5,233 "," 4,999 "," 4,108 "," 3,386 "," 6,119 "," 61,117 ",,,,,,,,,,,,,,,,,
Male, 231 ," 1,571 "," 5,763 "," 5,733 "," 6,487 "," 6,563 "," 5,839 "," 5,495 "," 5,003 "," 4,864 "," 4,044 "," 3,214 "," 5,356 "," 60,163 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , 1 , - , 1 , - , - , - , - , - , - , 2 ,,,,,,,,,,,,,,,,,
Hotham, 311 ," 2,096 "," 7,512 "," 6,923 "," 7,665 "," 8,585 "," 9,049 "," 9,774 "," 8,695 "," 8,371 "," 7,308 "," 6,578 "," 17,483 "," 100,350 ",,,,,,,,,,,,,,,,,
Female, 160 ," 1,050 "," 3,586 "," 3,338 "," 3,773 "," 4,296 "," 4,624 "," 5,101 "," 4,364 "," 4,203 "," 3,812 "," 3,565 "," 9,693 "," 51,565 ",,,,,,,,,,,,,,,,,
Male, 151 ," 1,046 "," 3,925 "," 3,585 "," 3,892 "," 4,289 "," 4,425 "," 4,673 "," 4,331 "," 4,168 "," 3,496 "," 3,013 "," 7,790 "," 48,784 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , 1 , - , - , - , - , - , - , - , - , - , - , 1 ,,,,,,,,,,,,,,,,,
Indi, 365 ," 2,114 "," 7,222 "," 6,834 "," 6,961 "," 7,035 "," 7,695 "," 8,996 "," 9,106 "," 10,363 "," 10,109 "," 9,320 "," 19,443 "," 105,563 ",,,,,,,,,,,,,,,,,
Female, 191 ," 1,079 "," 3,518 "," 3,369 "," 3,590 "," 3,639 "," 3,989 "," 4,683 "," 4,661 "," 5,366 "," 5,115 "," 4,607 "," 10,264 "," 54,071 ",,,,,,,,,,,,,,,,,
Male, 174 ," 1,035 "," 3,704 "," 3,465 "," 3,371 "," 3,396 "," 3,706 "," 4,313 "," 4,445 "," 4,997 "," 4,994 "," 4,713 "," 9,179 "," 51,492 ",,,,,,,,,,,,,,,,,
Indeterminate/Unknown, - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,,,,,,,,,,,,,,,
Isaacs, 365 ," 2,367 "," 8,310 "," 8,082 "," 9,218 "," 9,702 "," 10,227 "," 10,641 "," 9,490 "," 8,911 "," 7,827 "," 6,940 "," 15,084 "," 107,164 ",,,,,,,,,,,,,,,,,
