"Counting","CITP Australian Citizenship","CED (UR)","AGEP Age","Count",
"Persons, Place of Usual Residence","Australian","Dunkley","26",1442
"Persons, Place of Usual Residence","Australian","Dunkley","27",1294
"Persons, Place of Usual Residence","Australian","Dunkley","28",1449
"Persons, Place of Usual Residence","Australian","Dunkley","29",1418
"Persons, Place of Usual Residence","Australian","Dunkley","30",1461
"Persons, Place of Usual Residence","Australian","Flinders","15",1601
"Persons, Place of Usual Residence","Australian","Flinders","16",1598
"Persons, Place of Usual Residence","Australian","Flinders","17",1663
"Persons, Place of Usual Residence","Australian","Flinders","18",1577
"Persons, Place of Usual Residence","Australian","Flinders","19",1561
"Persons, Place of Usual Residence","Australian","Flinders","20",1435
"Persons, Place of Usual Residence","Australian","Flinders","21",1401
"Persons, Place of Usual Residence","Australian","Flinders","22",1433
"Persons, Place of Usual Residence","Australian","Flinders","23",1270
"Persons, Place of Usual Residence","Australian","Flinders","24",1334
"Persons, Place of Usual Residence","Australian","Flinders","25",1235
"Persons, Place of Usual Residence","Australian","Flinders","26",1324
"Persons, Place of Usual Residence","Australian","Flinders","27",1193
"Persons, Place of Usual Residence","Australian","Flinders","28",1276
"Persons, Place of Usual Residence","Australian","Flinders","29",1264
"Persons, Place of Usual Residence","Australian","Flinders","30",1271
"Persons, Place of Usual Residence","Australian","Gellibrand","15",1279
"Persons, Place of Usual Residence","Australian","Gellibrand","16",1345
"Persons, Place of Usual Residence","Australian","Gellibrand","17",1293
"Persons, Place of Usual Residence","Australian","Gellibrand","18",1324
"Persons, Place of Usual Residence","Australian","Gellibrand","19",1433
"Persons, Place of Usual Residence","Australian","Gellibrand","20",1439
"Persons, Place of Usual Residence","Australian","Gellibrand","21",1467
"Persons, Place of Usual Residence","Australian","Gellibrand","22",1475
"Persons, Place of Usual Residence","Australian","Gellibrand","23",1594
"Persons, Place of Usual Residence","Australian","Gellibrand","24",1669
"Persons, Place of Usual Residence","Australian","Gellibrand","25",1656
"Persons, Place of Usual Residence","Australian","Gellibrand","26",1766
"Persons, Place of Usual Residence","Australian","Gellibrand","27",1788
"Persons, Place of Usual Residence","Australian","Gellibrand","28",1799
"Persons, Place of Usual Residence","Australian","Gellibrand","29",1844
"Persons, Place of Usual Residence","Australian","Gellibrand","30",1896
"Persons, Place of Usual Residence","Australian","Gippsland","15",1505
"Persons, Place of Usual Residence","Australian","Gippsland","16",1542
"Persons, Place of Usual Residence","Australian","Gippsland","17",1606
"Persons, Place of Usual Residence","Australian","Gippsland","18",1445
"Persons, Place of Usual Residence","Australian","Gippsland","19",1270
"Persons, Place of Usual Residence","Australian","Gippsland","20",1266
"Persons, Place of Usual Residence","Australian","Gippsland","21",1288
"Persons, Place of Usual Residence","Australian","Gippsland","22",1372
"Persons, Place of Usual Residence","Australian","Gippsland","23",1275
"Persons, Place of Usual Residence","Australian","Gippsland","24",1318
"Persons, Place of Usual Residence","Australian","Gippsland","25",1348
"Persons, Place of Usual Residence","Australian","Gippsland","26",1313
"Persons, Place of Usual Residence","Australian","Gippsland","27",1255
"Persons, Place of Usual Residence","Australian","Gippsland","28",1300
"Persons, Place of Usual Residence","Australian","Gippsland","29",1245
"Persons, Place of Usual Residence","Australian","Gippsland","30",1337
"Persons, Place of Usual Residence","Australian","Goldstein","15",1616
"Persons, Place of Usual Residence","Australian","Goldstein","16",1704
"Persons, Place of Usual Residence","Australian","Goldstein","17",1703
"Persons, Place of Usual Residence","Australian","Goldstein","18",1470
"Persons, Place of Usual Residence","Australian","Goldstein","19",1459
"Persons, Place of Usual Residence","Australian","Goldstein","20",1377
"Persons, Place of Usual Residence","Australian","Goldstein","21",1413
"Persons, Place of Usual Residence","Australian","Goldstein","22",1419
"Persons, Place of Usual Residence","Australian","Goldstein","23",1221
"Persons, Place of Usual Residence","Australian","Goldstein","24",1185
"Persons, Place of Usual Residence","Australian","Goldstein","25",1114
"Persons, Place of Usual Residence","Australian","Goldstein","26",1046
"Persons, Place of Usual Residence","Australian","Goldstein","27",926
"Persons, Place of Usual Residence","Australian","Goldstein","28",932
"Persons, Place of Usual Residence","Australian","Goldstein","29",937
"Persons, Place of Usual Residence","Australian","Goldstein","30",970
"Persons, Place of Usual Residence","Australian","Gorton","15",2174
"Persons, Place of Usual Residence","Australian","Gorton","16",2205
"Persons, Place of Usual Residence","Australian","Gorton","17",2245
"Persons, Place of Usual Residence","Australian","Gorton","18",2075
"Persons, Place of Usual Residence","Australian","Gorton","19",2133
"Persons, Place of Usual Residence","Australian","Gorton","20",2114
"Persons, Place of Usual Residence","Australian","Gorton","21",1991
"Persons, Place of Usual Residence","Australian","Gorton","22",2066
"Persons, Place of Usual Residence","Australian","Gorton","23",2015
"Persons, Place of Usual Residence","Australian","Gorton","24",1921
"Persons, Place of Usual Residence","Australian","Gorton","25",2011
"Persons, Place of Usual Residence","Australian","Gorton","26",2006
"Persons, Place of Usual Residence","Australian","Gorton","27",2020
"Persons, Place of Usual Residence","Australian","Gorton","28",2146
"Persons, Place of Usual Residence","Australian","Gorton","29",2181
"Persons, Place of Usual Residence","Australian","Gorton","30",2239
"Persons, Place of Usual Residence","Australian","Higgins","15",1213
"Persons, Place of Usual Residence","Australian","Higgins","16",1267
"Persons, Place of Usual Residence","Australian","Higgins","17",1191
"Persons, Place of Usual Residence","Australian","Higgins","18",1239
"Persons, Place of Usual Residence","Australian","Higgins","19",1311
"Persons, Place of Usual Residence","Australian","Higgins","20",1516
"Persons, Place of Usual Residence","Australian","Higgins","21",1636
"Persons, Place of Usual Residence","Australian","Higgins","22",1646
"Persons, Place of Usual Residence","Australian","Higgins","23",1772
"Persons, Place of Usual Residence","Australian","Higgins","24",1812
"Persons, Place of Usual Residence","Australian","Higgins","25",1919
"Persons, Place of Usual Residence","Australian","Higgins","26",2058
"Persons, Place of Usual Residence","Australian","Higgins","27",2040
"Persons, Place of Usual Residence","Australian","Higgins","28",2044
"Persons, Place of Usual Residence","Australian","Higgins","29",1986
"Persons, Place of Usual Residence","Australian","Higgins","30",2028
"Persons, Place of Usual Residence","Australian","Holt","15",2115
"Persons, Place of Usual Residence","Australian","Holt","16",2205
"Persons, Place of Usual Residence","Australian","Holt","17",2198
"Persons, Place of Usual Residence","Australian","Holt","18",2126
"Persons, Place of Usual Residence","Australian","Holt","19",2110
"Persons, Place of Usual Residence","Australian","Holt","20",2161
"Persons, Place of Usual Residence","Australian","Holt","21",2178
"Persons, Place of Usual Residence","Australian","Holt","22",2178
"Persons, Place of Usual Residence","Australian","Holt","23",2159
"Persons, Place of Usual Residence","Australian","Holt","24",2170
"Persons, Place of Usual Residence","Australian","Holt","25",2092
"Persons, Place of Usual Residence","Australian","Holt","26",2050
"Persons, Place of Usual Residence","Australian","Holt","27",2119
"Persons, Place of Usual Residence","Australian","Holt","28",2067
"Persons, Place of Usual Residence","Australian","Holt","29",2198
"Persons, Place of Usual Residence","Australian","Holt","30",2289
"Persons, Place of Usual Residence","Australian","Hotham","15",1437
"Persons, Place of Usual Residence","Australian","Hotham","16",1428
"Persons, Place of Usual Residence","Australian","Hotham","17",1362
"Persons, Place of Usual Residence","Australian","Hotham","18",1415
"Persons, Place of Usual Residence","Australian","Hotham","19",1444
"Persons, Place of Usual Residence","Australian","Hotham","20",1476
